Gua_Handle thrdMtxInit (Gua_Integer); int mtx_init (mtx_t *mtx, int type)
Gua_Void thrdMtxDestroy (Gua_Handle); void mtx_destroy (mtx_t *mtx)
Gua_Integer thrdMtxLock (Gua_Handle); int mtx_lock (mtx_t *mtx)
Gua_Integer thrdMtxTryLock (Gua_Handle); int mtx_trylock (mtx_t *mtx)
Gua_Integer thrdMtxUnlock (Gua_Handle); int mtx_unlock (mtx_t *mtx)
Gua_Integer thrdCndInit (Gua_Handle); int cnd_init (cnd_t *cond)
Gua_Void thrdCndDestroy (Gua_Handle); void cnd_destroy (cnd_t *cond)
Gua_Integer thrdCndSignal (Gua_Handle); int cnd_signal (cnd_t *cond)
Gua_Integer thrdCndBroadcast (Gua_Handle); int cnd_broadcast (cnd_t *cond)
Gua_Integer thrdCndWait (Gua_Handle, Gua_Handle); int cnd_wait (cnd_t *cond, mtx_t *mtx)
Gua_Handle thrdCreate (Gua_String, Gua_Object); int thrd_create (thrd_t *thr, thrd_start_t func, void *arg)
Gua_Handle thrdCurrent (); thrd_t thrd_current (void)
Gua_Integer thrdDetach (Gua_Handle); int thrd_detach (thrd_t thr)
Gua_Integer thrdEqual (Gua_Handle, Gua_Handle); int thrd_equal (thrd_t thr0, thrd_t thr1)
Gua_Void thrdExit (Gua_Integer); void thrd_exit (int res)
Gua_Integer thrdJoin (Gua_Handle); int thrd_join (thrd_t thr, int *res)
Gua_Void thrdYield (); void thrd_yield (void)
